algorithm,edge_removal_ratio,mean_accuracy,std_dev,mean_execution_time
MAGNA,0.3,0.05172,0.05027481476843052,1.2165
MAGNA,0.2,0.15174,0.13761165648301746,1.2177
MAGNA,0.1,0.17930000000000001,0.12703808484072798,1.2706
MAGNA,0.0,0.22414,0.17243250273657806,1.2994
MAGNA,0.7,0.02452,0.026042023730885433,1.0923
MAGNA,0.5,0.04826,0.03932070701297218,1.1824
MAGNA,0.9,0.02038,0.024042504029322734,1.0710
MAGNA,0.01,0.12414,0.20234368781852327,1.2806
MAGNA,0.03,0.17244,0.19507308374042792,1.2868
MAGNA,0.02,0.39656,0.35731464145763747,1.2774
MAGNA,0.05,0.0724,0.09710005149329222,1.2791
MAGNA,0.04,0.17931999999999998,0.18272709706006932,1.2824
