algorithm,edge_removal_ratio,train_ratio,mean_accuracy,std_dev,mean_execution_time
SANE,0.1,0.8,0.033339999999999995,0.07455050636984298,24.2290
SANE,0.7,0.8,0.0,0.0,24.6048
SANE,0.03,0.8,0.0,0.0,24.6691
SANE,0.2,0.8,0.0,0.0,28.0934
SANE,0.04,0.8,0.03332,0.04562528904018034,23.7244
SANE,0.05,0.8,0.0,0.0,24.1854
SANE,0.5,0.8,0.01666,0.0372528925051465,27.6134
SANE,0.01,0.8,0.0,0.0,26.2829
SANE,0.9,0.8,0.0,0.0,24.9638
SANE,0.3,0.8,0.01666,0.0372528925051465,28.1764
SANE,0.02,0.8,0.033339999999999995,0.07455050636984298,26.2859
SANE,0.0,0.8,0.0,0.0,38.0476
